LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,67.871,,
AUS,Australia,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.324,,
AUS,Australia,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,65.745,,
AUS,Australia,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,57.703,,
AUT,Austria,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.505,,
AUT,Austria,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,48.044,,
AUT,Austria,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.498,,
AUT,Austria,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.462,,
BEL,Belgium,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,32.129,,
BEL,Belgium,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,43.878,,
BEL,Belgium,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.741,,
BEL,Belgium,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,39.823,,
BRA,Brazil,GAL_MONEY,Access to money to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.677,,
BRA,Brazil,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,20.995,,
BRA,Brazil,GAL_TRAINING,Access to training on how to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,25.914,,
BRA,Brazil,GAL_MONEY,Access to money to start a business,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.219,,
CAN,Canada,GAL_TRAINING,Access to training on how to start a business,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,64.711,,
