LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.305,,
AUS,Australia,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,53.772,,
AUT,Austria,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,23.726,,
AUT,Austria,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,39.002,,
BEL,Belgium,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,31.192,,
BEL,Belgium,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.314,,
BRA,Brazil,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,59.766,,
BRA,Brazil,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,69.653,,
CAN,Canada,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,56.682,,
CAN,Canada,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.098,,
CHL,Chile,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,70.783,,
CHL,Chile,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,75.126,,
CHN,China (People's Republic of),GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,53.923,,
CHN,China (People's Republic of),GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.537,,
CZE,Czech Republic,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,27.491,,
CZE,Czech Republic,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,37.726,,
DEU,Germany,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,22.677,,
DEU,Germany,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.898,,
DNK,Denmark,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,21.582,,
DNK,Denmark,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,36.124,,
ESP,Spain,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.774,,
ESP,Spain,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,53.815,,
EST,Estonia,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,25.199,,
EST,Estonia,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.399,,
FIN,Finland,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,16.906,,
FIN,Finland,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,35.698,,
FRA,France,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,40.533,,
FRA,France,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,54.651,,
GBR,United Kingdom,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,44.072,,
GBR,United Kingdom,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,61.852,,
GRC,Greece,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.026,,
GRC,Greece,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,52.3,,
HUN,Hungary,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,34.755,,
HUN,Hungary,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,45.674,,
IDN,Indonesia,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,77.222,,
IDN,Indonesia,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,86.052,,
IND,India,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,42.225,,
IND,India,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,50.88,,
IRL,Ireland,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,42.7,,
IRL,Ireland,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,59.53,,
ISL,Iceland,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,26.026,,
ISL,Iceland,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,50.272,,
ISR,Israel,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,24.699,,
ISR,Israel,GAL_RISK,Attitude towards entrepreneurial risk,MEN,Men,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,41.761,,
ITA,Italy,GAL_RISK,Attitude towards entrepreneurial risk,WOMEN,Women,TOTAL,Total,2013,2013,PC,Percentage,0,Units,,,22.871,,
