Country,Code,Year,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%)
Afghanistan,AFG,2014,10.63276958
Albania,ALB,2000,29.96845055
Albania,ALB,2003,44.20063019
Albania,ALB,2011,48.06420898
Albania,ALB,2013,52.19855118
Albania,ALB,2014,52.44797897
Algeria,DZA,2007,46.5290184
Algeria,DZA,2009,47.850811
Algeria,DZA,2010,48.80118179
Algeria,DZA,2011,48.77674103
Algeria,DZA,2013,46.86013031
Algeria,DZA,2014,54.36790085
Andorra,AND,2002,30
Andorra,AND,2003,23.52940941
Andorra,AND,2004,11.76471043
Andorra,AND,2005,13.63636017
Andorra,AND,2008,10
Andorra,AND,2012,33.33332825
Andorra,AND,2013,33.33332825
Andorra,AND,2014,25
Angola,AGO,1999,37.5
Angola,AGO,2002,40.625
Angola,AGO,2013,30.49748039
Antigua and Barbuda,ATG,2009,34.21052933
Antigua and Barbuda,ATG,2010,70.58824158
Antigua and Barbuda,ATG,2011,75
Antigua and Barbuda,ATG,2012,33.33332825
Argentina,ARG,2006,44.82588959
Argentina,ARG,2007,47.28139877
Argentina,ARG,2008,43.27199173
Argentina,ARG,2009,44.1858902
Argentina,ARG,2010,43.48072815
Argentina,ARG,2011,75.44944
Argentina,ARG,2012,41.98389816
Argentina,ARG,2013,43.4781189
Armenia,ARM,2010,38.32345963
Armenia,ARM,2014,41.77536011
Aruba,ABW,1999,16.41790962
Aruba,ABW,2000,14.75409985
Aruba,ABW,2001,10.81081009
Aruba,ABW,2002,22.58065033
Aruba,ABW,2003,12.24489975
Aruba,ABW,2004,18.18181992
Aruba,ABW,2005,11.2903204
Aruba,ABW,2007,13.23528957
Aruba,ABW,2008,13.23528957
Aruba,ABW,2009,17.85713959
Aruba,ABW,2010,7.547170162
Aruba,ABW,2011,14.89361954
Aruba,ABW,2012,19.69696999
Australia,AUS,1999,32.88138962
Australia,AUS,2000,32.90851974
Australia,AUS,2001,30.58608055
Australia,AUS,2002,30.80875969
Australia,AUS,2003,30.45239067
Australia,AUS,2005,31.33731079
Australia,AUS,2006,30.09810066
Australia,AUS,2007,30.95767975
Australia,AUS,2008,30.32085991
Australia,AUS,2009,29.97890091
Australia,AUS,2010,29.32242012
Australia,AUS,2011,29.10416985
Australia,AUS,2012,
Australia,AUS,2013,
Australia,AUS,2014,29.76535988
Austria,AUT,2000,19.93071938
Austria,AUT,2001,21.00229073
Austria,AUT,2003,21.07807922
Austria,AUT,2004,22.55809021
Austria,AUT,2005,23.33102036
Austria,AUT,2007,23.83415031
Austria,AUT,2008,24.22738075
Austria,AUT,2009,24.10560036
Austria,AUT,2010,23.48900986
Austria,AUT,2011,25.14536095
Austria,AUT,2012,25.54019928
Austria,AUT,2013,25.1464901
Austria,AUT,2014,25.48241043
Azerbaijan,AZE,2008,40.60779953
Azerbaijan,AZE,2009,40.0952301
Azerbaijan,AZE,2010,42.73070908
Azerbaijan,AZE,2011,43.47826004
Azerbaijan,AZE,2012,42.05693054
Azerbaijan,AZE,2013,35.75722885
Azerbaijan,AZE,2014,30.69940948
Bahrain,BHR,2003,50
Bahrain,BHR,2005,53.78548813
Bahrain,BHR,2006,45.93022919
Bahrain,BHR,2014,42.56560135
Bangladesh,BGD,2002,28.55920982
Bangladesh,BGD,2003,23.74571037
Bangladesh,BGD,2012,36.40341949
Bangladesh,BGD,2014,36.49734116
Barbados,BRB,2007,53.55450058
Barbados,BRB,2010,53.03030014
Barbados,BRB,2011,40.50278854
Belarus,BLR,2010,18.62027931
Belarus,BLR,2011,33.37253189
Belarus,BLR,2012,32.52256012
Belarus,BLR,2013,31.76926994
Belarus,BLR,2014,30.77820015
Belgium,BEL,2000,24.97097015
Belgium,BEL,2001,23.89908981
Belgium,BEL,2002,24.62343979
Belgium,BEL,2006,26.49035072
Belgium,BEL,2008,25.87194061
Belgium,BEL,2009,27.15064049
Belgium,BEL,2010,23.99468994
Belgium,BEL,2011,24.67240906
Belgium,BEL,2012,24.20002937
Belgium,BEL,2013,24.54634094
Belgium,BEL,2014,
Benin,BEN,1999,20.04830933
Benin,BEN,2009,19.15052032
Benin,BEN,2010,17.52136993
Benin,BEN,2011,19.16902924
Bermuda,BMU,2001,26.66666985
Bermuda,BMU,2005,38.88888931
Bermuda,BMU,2007,18.91892052
Bermuda,BMU,2009,24.2424202
Bermuda,BMU,2010,38.09524155
Bermuda,BMU,2011,39.13042831
Bermuda,BMU,2012,25.71429062
Bermuda,BMU,2014,100
Bhutan,BTN,2013,24.94278908
Bosnia and Herzegovina,BIH,2013,41.57022095
Bosnia and Herzegovina,BIH,2014,42.08763885
Brazil,BRA,2001,37.93598175
Brazil,BRA,2002,37.39284897
Brazil,BRA,2003,37.12012863
Brazil,BRA,2004,36.38819122
Brazil,BRA,2005,35.29896927
Brazil,BRA,2007,32.68527985
Brazil,BRA,2008,33.53388977
Brazil,BRA,2009,31.59012032
Brazil,BRA,2010,29.2876606
Brazil,BRA,2011,30.4491291
Brazil,BRA,2012,31.0992794
Brazil,BRA,2014,33.83197021
Brunei,BRN,1999,52.30768967
Brunei,BRN,2000,48.83721161
Brunei,BRN,2001,42.74808884
Brunei,BRN,2003,48.4375
Brunei,BRN,2004,42.40505981
Brunei,BRN,2005,44.19889832
Brunei,BRN,2006,62.33766174
Brunei,BRN,2007,39.13042831
Brunei,BRN,2008,49.13793182
Brunei,BRN,2009,50.39369965
Brunei,BRN,2010,41.6893692
