LOCATION,Country,INDICATOR,Indicator,SEX,Sex,AGE,Age,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1996,1996,PC,Percentage,0,Units,,,10.69999981,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1997,1997,PC,Percentage,0,Units,,,8.600000382,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1998,1998,PC,Percentage,0,Units,,,9.399999619,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,1999,1999,PC,Percentage,0,Units,,,12.89999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2000,2000,PC,Percentage,0,Units,,,16.39999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2001,2001,PC,Percentage,0,Units,,,15.80000019,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2002,2002,PC,Percentage,0,Units,,,13.89999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2003,2003,PC,Percentage,0,Units,,,13,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2004,2004,PC,Percentage,0,Units,,,14.39999962,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2005,2005,PC,Percentage,0,Units,,,16.29999924,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2006,2006,PC,Percentage,0,Units,,,18.10000038,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2007,2007,PC,Percentage,0,Units,,,17.79999924,,
ARG,Argentina,ENT4,Share of women inventors,WOMEN,Women,TOTAL,Total,2008,2008,PC,Percentage,0,Units,,,18.10000038,,
