Country,Year,Share of Women Inventors (%),"Gross enrolment ratio, tertiary, gender parity index (GPI)",Percentage of graduates from Science and Technology programmes in tertiary education who are female (%),Percentage of women declaring that they have access to training on how to start a business (%),Percentage of women declaring that they have access to money to start a business (%),Percentage of women prefering taking a risk and starting a new business to working for someone else (%)
Australia,2010,10.69999981,1.380990028,29.32242012,67.871,41.324,45.305
Australia,2011,11.0,1.393959999,29.10416985,67.871,41.324,45.305
Australia,2012,11.10000038,1.405290008,,67.871,41.324,45.305
Australia,2013,11.39999962,1.403120041,,67.871,41.324,45.305
Australia,2014,11.5,1.403120041,29.76535988,67.871,41.324,45.305
Austria,2010,5.599999905,1.170019984,23.48900986,61.505,48.044,23.726
Austria,2011,5.400000095,1.182569981,25.14536095,61.505,48.044,23.726
Austria,2012,5.400000095,1.198639989,25.54019928,61.505,48.044,23.726
Austria,2013,5.400000095,1.206210017,25.1464901,61.505,48.044,23.726
Austria,2014,5.599999905,1.203480005,25.48241043,61.505,48.044,23.726
Belgium,2010,14.19999981,1.266289949,23.99468994,43.878,32.129,31.192
Belgium,2011,13.39999962,1.272729993,24.67240906,43.878,32.129,31.192
Belgium,2012,12.69999981,1.287179947,24.20002937,43.878,32.129,31.192
Belgium,2013,11.69999981,1.301319957,24.54634094,43.878,32.129,31.192
Belgium,2014,12.5,1.310260057,,43.878,32.129,31.192
Canada,2010,12.10000038,,,64.711,49.541,56.682
Canada,2011,11.89999962,,,64.711,49.541,56.682
Canada,2012,11.89999962,,,64.711,49.541,56.682
Canada,2013,12.19999981,,,64.711,49.541,56.682
Canada,2014,12.19999981,,,64.711,49.541,56.682
Chile,2010,23.60000038,1.077659965,19.49593925,29.034,18.017,70.783
Chile,2011,24.79999924,1.107030034,,29.034,18.017,70.783
Chile,2012,20.29999924,1.130020022,19.32814026,29.034,18.017,70.783
Chile,2013,21.60000038,1.127470016,,29.034,18.017,70.783
Chile,2014,21.39999962,1.135699987,18.2441597,29.034,18.017,70.783
Colombia,2010,11.10000038,1.098399997,,,,
Colombia,2011,13.39999962,1.098739982,34.28125,,,
Colombia,2012,17.89999962,1.129179955,33.8652916,,,
Colombia,2013,23.79999924,1.145470023,33.99571991,,,
Colombia,2014,26.29999924,1.145400047,33.71184921,,,
Denmark,2010,10.69999981,1.448899984,36.69908142,51.747,35.701,21.582
Denmark,2011,10.60000038,1.42505002,37.92359924,51.747,35.701,21.582
Denmark,2012,11.10000038,1.411829948,37.24924088,51.747,35.701,21.582
Denmark,2013,11.39999962,1.380100012,35.33712006,51.747,35.701,21.582
Denmark,2014,10.30000019,1.398679972,36.01710129,51.747,35.701,21.582
Finland,2010,9.399999619,1.220770001,27.59066963,85.106,27.641,16.906
Finland,2011,9.199999809,1.228500009,28.80761909,85.106,27.641,16.906
Finland,2012,9.600000382,1.209439993,27.8205204,85.106,27.641,16.906
Finland,2013,9.600000382,1.209059954,27.04744911,85.106,27.641,16.906
Finland,2014,9.699999809,1.207290053,26.94033051,85.106,27.641,16.906
France,2010,13.30000019,1.264829993,,28.044,16.934,40.533
France,2011,13.39999962,1.259989977,,28.044,16.934,40.533
France,2012,13.60000038,1.252410054,29.84284973,28.044,16.934,40.533
France,2013,13.60000038,1.231529951,30.31476974,28.044,16.934,40.533
France,2014,13.69999981,1.225710034,30.34794998,28.044,16.934,40.533
Germany,2010,6.800000191,0.80874002,,38.273,31.809,22.677
Germany,2011,6.800000191,0.847069979,,38.273,31.809,22.677
Germany,2012,7.0,0.886990011,,38.273,31.809,22.677
Germany,2013,7.300000191,0.922659993,,38.273,31.809,22.677
Germany,2014,7.599999905,0.935559988,27.19964981,38.273,31.809,22.677
Greece,2010,20.39999962,1.042819977,39.52138901,24.11,8.219,34.026
Greece,2011,20.70000076,1.018180013,38.87726974,24.11,8.219,34.026
Greece,2012,17.10000038,1.013190031,37.98453903,24.11,8.219,34.026
